ID,title,name,desc,icon,times,reward_ID,CD,CD_cost,gift_type,Unlock,order
int,string,string,string,string,int,int,int,int,int,int,int
1,Overcooked Meal,失败菜肴,Overcooked Meal\nOops; it's overcooked... Practice makes perfect; commander,item_ActivityGourmetCook1,-1,6040000,3,20,0,0,
2,Barely-edible Meal,保熟菜肴,Barely-edible Meal\nWell; it's edible; sort of.,item_ActivityGourmetCook1,-1,6040001,5,20,0,0,
3,"Special" Meal,另类菜肴,"Special" Meal\nHmmm...It tastes interesting.,item_ActivityGourmetCook1,-1,6040002,10,20,0,0,
4,Family Meal,家庭菜肴,Family Meal\nMom's meals are always the best.,item_ActivityGourmetCook1,-1,6040003,15,20,0,0,
5,Decent Meal,精致菜肴,Decent Meal\nSee; that's how the meal should be served.,item_ActivityGourmetCook1,-1,6040004,20,20,0,0,
6,Perfect Meal,丰盛菜肴,Perfect Meal\nThis meal is out of this world.,item_ActivityGourmetCook1,-1,6040005,30,20,0,0,
7,Luxury Meal,豪华菜肴,Luxury Meal\nMeticulous preparation and expert cooking skills... Voila! Haute cuisine.,item_ActivityGourmetCook1,-1,6040006,60,20,0,0,
8,Binary,"二进制",Binary\nBinary is the foundation of everything,item_ActivityGourmetCook2,1,6040007,60,20,1,0,
9,Well Planned,"精打细算",Well Planned\nThis doesn't seem like much of a meal to me.,item_ActivityGourmetCook2,1,6040008,60,20,1,0,
10,Grande Cuisine,"奢华盛宴",Grande Cuisine\nBon Appétit Mon Ami!,item_ActivityGourmetCook2,1,6040009,60,20,1,0,
11,Autobots; Roll Out,"汽车人，出发",Autobots; Roll Out!\nThe Transformers landed on Top War on August 10; 2021! Will they come back again?,item_ActivityGourmetCook2,1,6040010,60,20,1,0,
12,Stay Sharp,"藏剑于鞘",Stay Sharp\nThe Black Widow trained at the hidden site for 6;935 days.,item_ActivityGourmetCook2,1,6040011,60,20,1,1,
13,New Element?,"新元素？",The New Element?\nLaTest news: Doctor Reichstein discovered the element No. 116,item_ActivityGourmetCook2,1,6040012,60,20,1,2,
14,Grateful to You,"感恩有你",Grateful To You\nWe're thankful to you and the many more memories we will continue to create.,item_ActivityGourmetCook2,1,6040013,60,20,1,3,
15,Eternal King,"永恒之王",Eternal King\nThe first Eternal Land event took place in June 2020; marking the beginning of the epic war,item_ActivityGourmetCook2,1,6040014,60,20,1,4,
